entidad,pais_de_origen,anio,trimestre,fecha,millones_de_dolares
Chihuahua,Togo,2006,2,2006-06-01,0.786593
Coahuila,Spain,2008,3,2008-09-01,1.68537
Sonora,Holy See (Vatican City State),2015,1,2015-03-01,1.127939
Hidalgo,Cambodia,2012,2,2012-06-01,1.689682
Tlaxcala,China,2013,2,2013-06-01,6.693218
Puebla,Paraguay,2015,1,2015-03-01,3.387319
Morelos,South Georgia and the South Sandwich Islands,2009,4,2009-12-01,8.89718
Quintana Roo,Georgia,2005,3,2005-09-01,9.301509
Guerrero,Mexico,2010,3,2010-09-01,1.936513
Nayarit,Malta,2018,4,2018-12-01,6.044398
Tlaxcala,Sudan,2016,2,2016-06-01,9.718396
Sonora,Mexico,2012,1,2012-03-01,1.083393
Colima,San Marino,2007,2,2007-06-01,4.324254
Guerrero,Lesotho,2006,4,2006-12-01,1.655955
Michoacán,Brazil,2006,2,2006-06-01,9.347901
Tamaulipas,Gabon,2023,4,2023-12-01,6.091505
Chiapas,Luxembourg,2023,4,2023-12-01,1.425947
San Luis Potosí,Netherlands Antilles,2010,2,2010-06-01,9.771796
Querétaro,Portugal,2010,4,2010-12-01,6.732337
Veracruz,Iran,2016,2,2016-06-01,4.790901
Quintana Roo,Montenegro,2016,1,2016-03-01,9.486131
Aguascalientes,Lithuania,2011,2,2011-06-01,7.372134
Zacatecas,Monaco,2014,1,2014-03-01,5.324799
Guerrero,Sudan,2007,4,2007-12-01,2.50635
Coahuila,Burkina Faso,2018,2,2018-06-01,7.077957
Sinaloa,Equatorial Guinea,2015,2,2015-06-01,9.117768
Guanajuato,Equatorial Guinea,2008,3,2008-09-01,5.959121
Tamaulipas,Greece,2016,4,2016-12-01,5.775085
Querétaro,Vietnam,2009,2,2009-06-01,2.550173
Sinaloa,Palau,2008,4,2008-12-01,6.726974
Jalisco,Christmas Island,2023,4,2023-12-01,1.673103
Estado de México,Paraguay,2022,1,2022-03-01,4.335422
Colima,Lesotho,2007,4,2007-12-01,7.927213
Guanajuato,Gibraltar,2002,1,2002-03-01,2.803953
Nayarit,Ethiopia,2021,2,2021-06-01,2.979775
Guerrero,Gabon,2002,4,2002-12-01,9.231275
Campeche,Seychelles,2022,3,2022-09-01,8.30991
Tlaxcala,Cape Verde,2001,1,2001-03-01,4.832257
Colima,Brazil,2011,3,2011-09-01,4.606865
Oaxaca,Holy See (Vatican City State),2020,2,2020-06-01,3.36221
Tlaxcala,Georgia,2019,3,2019-09-01,4.191787
Yucatán,Greece,2007,4,2007-12-01,8.082029
Ciudad de México,Moldova,2012,4,2012-12-01,8.673698
Sinaloa,Antarctica (the territory South of 60 deg S),2022,2,2022-06-01,0.445848
Tlaxcala,Sierra Leone,2004,4,2004-12-01,8.129024
Michoacán,Hungary,2019,3,2019-09-01,1.219648
Veracruz,United Arab Emirates,2004,4,2004-12-01,8.263359
Nayarit,Belarus,2007,2,2007-06-01,9.465584
Yucatán,San Marino,2017,3,2017-09-01,4.183778
Baja California,Saint Barthelemy,2007,4,2007-12-01,9.842085
Baja California,France,2013,4,2013-12-01,4.360432
Sinaloa,Palau,2009,2,2009-06-01,9.265078
Nayarit,Tajikistan,2007,2,2007-06-01,4.427537
Ciudad de México,United States of America,2014,2,2014-06-01,5.038573
Colima,Christmas Island,2009,4,2009-12-01,3.822873
Querétaro,Montenegro,2012,1,2012-03-01,8.180889
Oaxaca,South Georgia and the South Sandwich Islands,2012,1,2012-03-01,2.493667
Jalisco,Hungary,2003,1,2003-03-01,1.545939
Baja California Sur,Botswana,2000,1,2000-03-01,3.741814
Jalisco,Gambia,2008,4,2008-12-01,5.100359
Michoacán,Madagascar,2010,3,2010-09-01,5.210041
Chihuahua,Pakistan,2002,1,2002-03-01,8.401999
Michoacán,Pakistan,2019,1,2019-03-01,5.015943
Quintana Roo,Cape Verde,2001,4,2001-12-01,0.019853
Ciudad de México,Grenada,2017,2,2017-06-01,4.865516
Tamaulipas,Paraguay,2008,2,2008-06-01,5.97447
Aguascalientes,Chad,2019,3,2019-09-01,3.545752
San Luis Potosí,Saint Barthelemy,2012,3,2012-09-01,2.48008
Tlaxcala,Morocco,2011,3,2011-09-01,9.696527
Tamaulipas,Greece,2000,4,2000-12-01,9.173119
Nayarit,Egypt,2019,3,2019-09-01,9.325366
Veracruz,Cape Verde,2014,1,2014-03-01,3.35117
Nayarit,Georgia,2018,3,2018-09-01,0.88664
Puebla,Egypt,2006,4,2006-12-01,9.165831
Campeche,Mali,2004,2,2004-06-01,5.823686
Quintana Roo,Korea,2013,4,2013-12-01,9.706654
Nuevo León,El Salvador,2015,4,2015-12-01,3.392284
Chihuahua,South Africa,2005,4,2005-12-01,3.611213
Yucatán,Svalbard & Jan Mayen Islands,2013,1,2013-03-01,0.880175
Sonora,Fiji,2006,1,2006-03-01,4.360597
San Luis Potosí,North Macedonia,2010,3,2010-09-01,9.016634
Campeche,El Salvador,2001,4,2001-12-01,8.178986
Querétaro,Tajikistan,2003,4,2003-12-01,8.894778
Querétaro,Cocos (Keeling) Islands,2023,1,2023-03-01,1.664184
Quintana Roo,Moldova,2011,3,2011-09-01,1.549194
Zacatecas,Central African Republic,2017,2,2017-06-01,5.472193
Sinaloa,Portugal,2008,4,2008-12-01,4.246167
Guanajuato,Guadeloupe,2011,4,2011-12-01,4.41242
Tabasco,Central African Republic,2017,1,2017-03-01,8.72407
San Luis Potosí,South Africa,2007,3,2007-09-01,7.432905
Michoacán,Poland,2005,3,2005-09-01,3.495108
Guerrero,San Marino,2013,1,2013-03-01,4.140291
Puebla,Chad,2012,2,2012-06-01,3.114698
Veracruz,Benin,2021,3,2021-09-01,2.255699
Veracruz,Montenegro,2002,3,2002-09-01,2.220629
Nuevo León,Gibraltar,2018,2,2018-06-01,6.143798
Ciudad de México,Uganda,2021,2,2021-06-01,8.898256
Querétaro,Saudi Arabia,2023,1,2023-03-01,7.17174
Michoacán,Gambia,2016,3,2016-09-01,2.919251
Yucatán,Belarus,2006,1,2006-03-01,0.949482
Tlaxcala,Oman,2021,2,2021-06-01,2.378908
Michoacán,Egypt,2000,2,2000-06-01,4.371473
Estado de México,Moldova,2017,3,2017-09-01,1.602728
San Luis Potosí,Angola,2012,2,2012-06-01,3.194853
Tlaxcala,Egypt,2013,1,2013-03-01,7.887293
Tabasco,San Marino,2018,3,2018-09-01,8.0968
Puebla,Iran,2005,3,2005-09-01,5.862802
Coahuila,Iraq,2010,3,2010-09-01,7.65202
Guanajuato,El Salvador,2020,3,2020-09-01,0.37457
Tlaxcala,Morocco,2012,2,2012-06-01,5.916015
Durango,France,2008,4,2008-12-01,9.830635
Sinaloa,Guadeloupe,2016,2,2016-06-01,7.878862
Guanajuato,Peru,2012,1,2012-03-01,7.38033
Tabasco,Micronesia,2010,1,2010-03-01,6.433957
Sinaloa,Gambia,2010,3,2010-09-01,5.503434
Baja California Sur,Antarctica (the territory South of 60 deg S),2010,1,2010-03-01,5.696842
Baja California Sur,Cambodia,2010,3,2010-09-01,3.567919
Ciudad de México,Pakistan,2003,4,2003-12-01,6.173947
Aguascalientes,Brazil,2001,3,2001-09-01,2.799174
Chihuahua,Heard Island and McDonald Islands,2012,2,2012-06-01,6.766878
Coahuila,Korea,2012,2,2012-06-01,7.047584
Baja California,Greenland,2021,1,2021-03-01,3.350998
Tamaulipas,Tanzania,2018,1,2018-03-01,2.155514
Aguascalientes,Qatar,2007,3,2007-09-01,3.496412
Baja California Sur,Mexico,2020,2,2020-06-01,4.207771
Ciudad de México,Jamaica,2012,4,2012-12-01,2.634008
Tabasco,Cambodia,2000,2,2000-06-01,8.579003
Ciudad de México,North Macedonia,2015,1,2015-03-01,1.3506
Baja California Sur,Libyan Arab Jamahiriya,2017,3,2017-09-01,8.438926
Estado de México,China,2006,4,2006-12-01,4.150334
Estado de México,Rwanda,2007,4,2007-12-01,7.233831
Nayarit,Malaysia,2020,3,2020-09-01,1.467634
Ciudad de México,Mayotte,2003,1,2003-03-01,5.226994
Oaxaca,Lao People's Democratic Republic,2003,1,2003-03-01,0.966622
Sonora,Monaco,2009,4,2009-12-01,0.001062
Zacatecas,Poland,2006,2,2006-06-01,5.859606
Estado de México,Ethiopia,2002,3,2002-09-01,8.34767
Querétaro,Hong Kong,2007,3,2007-09-01,2.709791
Puebla,Central African Republic,2019,2,2019-06-01,2.576484
Puebla,Micronesia,2016,1,2016-03-01,2.272357
Guanajuato,Liberia,2004,1,2004-03-01,6.834644
Sonora,Greenland,2013,2,2013-06-01,3.688758
Yucatán,Jamaica,2001,2,2001-06-01,4.319738
Colima,Ethiopia,2000,4,2000-12-01,1.706631
Nuevo León,Indonesia,2002,3,2002-09-01,2.858756
Nuevo León,Tanzania,2011,3,2011-09-01,2.712775
Zacatecas,Andorra,2007,4,2007-12-01,4.921188
Nayarit,Morocco,2001,4,2001-12-01,3.418984
Morelos,American Samoa,2012,1,2012-03-01,0.987289
Zacatecas,Singapore,2010,1,2010-03-01,1.781827
Baja California Sur,Christmas Island,2018,1,2018-03-01,2.142703
Morelos,Qatar,2010,3,2010-09-01,4.024781
Estado de México,Holy See (Vatican City State),2007,1,2007-03-01,6.151795
Nayarit,Venezuela,2010,4,2010-12-01,2.28692
Guerrero,Syrian Arab Republic,2002,2,2002-06-01,4.878494
Nuevo León,Egypt,2010,1,2010-03-01,1.344831
Sonora,Nicaragua,2020,2,2020-06-01,8.868296
Tabasco,Moldova,2009,3,2009-09-01,2.221972
Querétaro,Serbia,2023,2,2023-06-01,0.845047
Baja California,Greenland,2012,1,2012-03-01,6.857863
Hidalgo,Antigua and Barbuda,2008,3,2008-09-01,0.696981
Quintana Roo,Saint Pierre and Miquelon,2004,2,2004-06-01,1.783772
Aguascalientes,Nauru,2019,2,2019-06-01,3.818442
Guerrero,Peru,2010,1,2010-03-01,6.27801
Durango,Serbia,2008,1,2008-03-01,6.400922
Nayarit,Guyana,2010,3,2010-09-01,2.070444
Durango,Latvia,2002,2,2002-06-01,6.203979
Coahuila,Saint Kitts and Nevis,2015,3,2015-09-01,5.17901
Sonora,Venezuela,2006,1,2006-03-01,8.340215
Hidalgo,Lesotho,2005,1,2005-03-01,8.481226
Veracruz,Ethiopia,2021,1,2021-03-01,6.520429
Tabasco,Malta,2009,3,2009-09-01,3.712904
Tabasco,Antarctica (the territory South of 60 deg S),2020,4,2020-12-01,0.533627
Quintana Roo,Tuvalu,2005,4,2005-12-01,2.941018
Ciudad de México,Turkey,2017,4,2017-12-01,9.100474
Durango,South Georgia and the South Sandwich Islands,2019,2,2019-06-01,3.901002
Chihuahua,Netherlands Antilles,2020,4,2020-12-01,7.554885
Chihuahua,Jamaica,2018,4,2018-12-01,8.439114
Sinaloa,Isle of Man,2018,1,2018-03-01,9.157756
Coahuila,Gabon,2001,4,2001-12-01,4.340436
Guerrero,Algeria,2022,3,2022-09-01,0.182941
Oaxaca,Solomon Islands,2009,4,2009-12-01,1.474074
Guerrero,Moldova,2021,4,2021-12-01,6.737451
Chiapas,Tanzania,2014,3,2014-09-01,3.833202
Zacatecas,Malta,2000,4,2000-12-01,5.388087
Tabasco,Saudi Arabia,2018,3,2018-09-01,2.066885
Michoacán,Saint Kitts and Nevis,2008,3,2008-09-01,0.954466
Guerrero,Svalbard & Jan Mayen Islands,2007,2,2007-06-01,5.732665
Guanajuato,Turkey,2023,2,2023-06-01,2.796225
Ciudad de México,Gibraltar,2015,3,2015-09-01,2.897698
Coahuila,Uganda,2012,3,2012-09-01,0.694567
Tlaxcala,Canada,2018,4,2018-12-01,9.815772
Querétaro,Poland,2003,2,2003-06-01,3.104947
Tabasco,Sudan,2011,2,2011-06-01,4.297021
Chihuahua,Qatar,2004,2,2004-06-01,1.483183
Veracruz,Christmas Island,2008,1,2008-03-01,3.044912
Baja California,Rwanda,2008,4,2008-12-01,7.255991
Chihuahua,Mexico,2022,3,2022-09-01,7.043975
Durango,Netherlands Antilles,2001,1,2001-03-01,0.124886
Nayarit,Iran,2020,2,2020-06-01,6.962557
Puebla,Saint Barthelemy,2019,4,2019-12-01,0.895333
Quintana Roo,Holy See (Vatican City State),2018,3,2018-09-01,8.922073
Sonora,Heard Island and McDonald Islands,2013,2,2013-06-01,7.517545
Chiapas,Cape Verde,2016,2,2016-06-01,8.781971
Colima,Paraguay,2004,3,2004-09-01,5.032514
Aguascalientes,Syrian Arab Republic,2011,1,2011-03-01,3.06875
Ciudad de México,Guam,2021,4,2021-12-01,9.333745
Veracruz,Vietnam,2013,4,2013-12-01,3.044875
Michoacán,France,2010,3,2010-09-01,5.258803
Colima,Saint Barthelemy,2009,2,2009-06-01,7.329319
Coahuila,Saudi Arabia,2008,4,2008-12-01,7.849653
Hidalgo,Mozambique,2013,2,2013-06-01,5.924448
Ciudad de México,Lesotho,2007,2,2007-06-01,9.446743
Nayarit,Christmas Island,2002,3,2002-09-01,9.694553
Coahuila,Guam,2023,2,2023-06-01,5.541352
Oaxaca,Lesotho,2002,1,2002-03-01,9.386422
Nayarit,Spain,2015,1,2015-03-01,9.539946
San Luis Potosí,Madagascar,2012,2,2012-06-01,5.216008
Durango,Tokelau,2000,2,2000-06-01,2.127031
Colima,Cape Verde,2010,3,2010-09-01,5.596223
Zacatecas,Algeria,2004,3,2004-09-01,4.206789
Baja California Sur,Saint Lucia,2000,2,2000-06-01,0.102161
Hidalgo,Saint Kitts and Nevis,2011,4,2011-12-01,6.400769
Hidalgo,Seychelles,2006,4,2006-12-01,2.273923
Durango,Tajikistan,2010,2,2010-06-01,9.52027
Quintana Roo,Morocco,2001,1,2001-03-01,5.935005
Colima,Qatar,2006,4,2006-12-01,8.756011
Baja California Sur,Libyan Arab Jamahiriya,2007,3,2007-09-01,3.380898
Guerrero,Saint Barthelemy,2021,1,2021-03-01,9.009092
San Luis Potosí,Mali,2002,3,2002-09-01,8.316371
Veracruz,San Marino,2014,2,2014-06-01,5.042691
Hidalgo,Paraguay,2002,4,2002-12-01,7.538767
Quintana Roo,Netherlands Antilles,2021,4,2021-12-01,9.840556
Guerrero,Angola,2006,4,2006-12-01,0.616034
Quintana Roo,Tuvalu,2007,1,2007-03-01,4.373375
Oaxaca,Saint Kitts and Nevis,2023,3,2023-09-01,7.792869
Coahuila,Gambia,2000,2,2000-06-01,7.391394
Sinaloa,Cyprus,2009,2,2009-06-01,7.185054
Morelos,Angola,2006,3,2006-09-01,0.173377
Nuevo León,Oman,2015,2,2015-06-01,7.509851
Nayarit,Benin,2003,2,2003-06-01,3.738991
Veracruz,Sierra Leone,2007,3,2007-09-01,9.153397
Coahuila,Mayotte,2002,4,2002-12-01,2.826806
Jalisco,Micronesia,2022,2,2022-06-01,2.266013
Yucatán,Syrian Arab Republic,2017,4,2017-12-01,5.700766
Sinaloa,Qatar,2008,2,2008-06-01,8.980137
Tamaulipas,China,2001,1,2001-03-01,0.209736
Chiapas,Seychelles,2010,2,2010-06-01,7.269077
Nuevo León,Korea,2021,1,2021-03-01,3.801521
Chiapas,Fiji,2008,4,2008-12-01,1.337118
Jalisco,Nauru,2013,2,2013-06-01,4.675843
San Luis Potosí,Oman,2003,3,2003-09-01,6.738489
Nuevo León,Morocco,2015,1,2015-03-01,8.775182
Jalisco,Belarus,2012,1,2012-03-01,2.96987
Oaxaca,Chad,2016,1,2016-03-01,1.159015
Querétaro,Botswana,2006,4,2006-12-01,5.470702
Tlaxcala,North Macedonia,2018,3,2018-09-01,3.268738
Guerrero,Singapore,2022,1,2022-03-01,6.613041
Estado de México,Latvia,2016,4,2016-12-01,4.455037
Veracruz,Burkina Faso,2019,1,2019-03-01,4.178307
Sinaloa,French Southern Territories,2015,3,2015-09-01,4.566288
Chihuahua,Saint Kitts and Nevis,2006,1,2006-03-01,6.530578
San Luis Potosí,South Georgia and the South Sandwich Islands,2018,3,2018-09-01,7.686817
Tlaxcala,Tuvalu,2007,4,2007-12-01,7.488931
Coahuila,Mozambique,2001,3,2001-09-01,0.152591
San Luis Potosí,Saint Barthelemy,2014,4,2014-12-01,2.529395
Yucatán,Greece,2022,1,2022-03-01,2.571503
Durango,Canada,2003,4,2003-12-01,0.017079
Baja California Sur,Morocco,2011,2,2011-06-01,5.655499
Sinaloa,Malta,2008,4,2008-12-01,0.210702
Morelos,Saint Barthelemy,2008,1,2008-03-01,0.205967
Tlaxcala,Costa Rica,2015,4,2015-12-01,5.768752
Tamaulipas,United States of America,2003,1,2003-03-01,8.461577
Baja California Sur,Pakistan,2006,4,2006-12-01,3.963563
Puebla,Heard Island and McDonald Islands,2015,2,2015-06-01,8.081955
Tlaxcala,Cape Verde,2008,2,2008-06-01,7.319197
Tabasco,Saudi Arabia,2007,2,2007-06-01,3.714291
Aguascalientes,Jersey,2022,3,2022-09-01,1.662734
Guerrero,Liberia,2023,4,2023-12-01,0.971437
Chihuahua,Jersey,2023,3,2023-09-01,0.243851
Yucatán,Congo,2022,1,2022-03-01,4.814775
Durango,Eritrea,2021,4,2021-12-01,9.43386
San Luis Potosí,Lesotho,2012,1,2012-03-01,0.153682
Nayarit,Jersey,2005,4,2005-12-01,9.187643
Yucatán,Cape Verde,2013,2,2013-06-01,3.216508
San Luis Potosí,Qatar,2012,4,2012-12-01,7.329012
Sonora,Brazil,2020,3,2020-09-01,6.496692
Oaxaca,Togo,2011,1,2011-03-01,0.873791
Querétaro,Bosnia and Herzegovina,2008,2,2008-06-01,6.589587
Sinaloa,Mayotte,2015,4,2015-12-01,5.341673
Sinaloa,Moldova,2010,2,2010-06-01,3.652288
Morelos,Cape Verde,2003,1,2003-03-01,2.697012
Sonora,Bosnia and Herzegovina,2019,3,2019-09-01,4.979212
Tlaxcala,Tokelau,2017,4,2017-12-01,4.872914
Aguascalientes,Zimbabwe,2006,2,2006-06-01,5.238961
Baja California,Pakistan,2010,4,2010-12-01,3.360168
Chihuahua,Korea,2012,3,2012-09-01,2.862928
Nuevo León,Mayotte,2003,2,2003-06-01,0.723083
Guanajuato,Saint Kitts and Nevis,2020,2,2020-06-01,2.583062
Nuevo León,Tuvalu,2007,3,2007-09-01,4.180435
Estado de México,Tanzania,2023,2,2023-06-01,7.687203
Hidalgo,Tokelau,2016,2,2016-06-01,1.867117
Colima,South Africa,2004,1,2004-03-01,6.495008
Chihuahua,Iraq,2010,2,2010-06-01,1.729685
Zacatecas,Iraq,2020,2,2020-06-01,8.843548
Quintana Roo,Venezuela,2009,1,2009-03-01,8.114686
Chihuahua,Qatar,2001,2,2001-06-01,7.268394
Baja California Sur,Malaysia,2002,1,2002-03-01,8.642253
Jalisco,Portugal,2007,4,2007-12-01,0.740211
Tabasco,Jersey,2004,4,2004-12-01,7.769148
Zacatecas,Nauru,2019,3,2019-09-01,4.229833
Tlaxcala,Montenegro,2003,3,2003-09-01,7.536271
Campeche,Equatorial Guinea,2005,4,2005-12-01,6.337405
Tamaulipas,Cameroon,2017,4,2017-12-01,7.743653
Baja California,Greece,2022,3,2022-09-01,7.035807
Jalisco,Jersey,2006,3,2006-09-01,1.904145
Quintana Roo,Tuvalu,2003,1,2003-03-01,5.393109
Sinaloa,Latvia,2004,3,2004-09-01,5.420391
Nuevo León,North Macedonia,2012,4,2012-12-01,7.257124
Coahuila,New Caledonia,2008,1,2008-03-01,9.224265
Querétaro,Swaziland,2011,1,2011-03-01,8.965879
Guerrero,Rwanda,2015,1,2015-03-01,0.690054
San Luis Potosí,Lao People's Democratic Republic,2002,4,2002-12-01,7.175733
Coahuila,Macao,2015,1,2015-03-01,2.493757
Campeche,Bosnia and Herzegovina,2012,1,2012-03-01,4.003212
Tabasco,United States of America,2000,3,2000-09-01,6.793764
Yucatán,Isle of Man,2015,1,2015-03-01,2.64512
Durango,Heard Island and McDonald Islands,2006,3,2006-09-01,9.814729
Estado de México,Faroe Islands,2022,2,2022-06-01,4.23588
Coahuila,Mayotte,2000,4,2000-12-01,0.68029
Estado de México,Libyan Arab Jamahiriya,2015,1,2015-03-01,3.124821
Hidalgo,Poland,2011,2,2011-06-01,5.704619
Aguascalientes,Latvia,2022,4,2022-12-01,0.843153
Jalisco,Jamaica,2022,4,2022-12-01,4.341791
Estado de México,Ireland,2009,2,2009-06-01,2.569144
Jalisco,Saint Barthelemy,2011,2,2011-06-01,9.828035
Morelos,Burkina Faso,2019,2,2019-06-01,6.377945
Chihuahua,San Marino,2001,3,2001-09-01,0.369902
Sonora,Grenada,2009,1,2009-03-01,7.941668
Durango,Korea,2013,3,2013-09-01,0.925837
Baja California Sur,Poland,2015,1,2015-03-01,7.21715
Tabasco,Grenada,2015,3,2015-09-01,9.012667
Aguascalientes,Belarus,2013,3,2013-09-01,3.960164
Hidalgo,Macao,2019,4,2019-12-01,7.875034
Hidalgo,Saint Pierre and Miquelon,2011,3,2011-09-01,2.543836
Estado de México,South Georgia and the South Sandwich Islands,2007,2,2007-06-01,8.535194
Coahuila,Turkey,2002,3,2002-09-01,3.778687
Campeche,Jordan,2012,1,2012-03-01,6.849453
Chiapas,Botswana,2011,3,2011-09-01,0.770043
Michoacán,Netherlands Antilles,2016,3,2016-09-01,9.62453
Estado de México,Qatar,2007,4,2007-12-01,0.509599
Morelos,Micronesia,2016,4,2016-12-01,7.766398
Chihuahua,Congo,2005,2,2005-06-01,7.479557
Michoacán,Botswana,2015,2,2015-06-01,1.845302
Coahuila,Benin,2002,1,2002-03-01,7.569431
Veracruz,Mozambique,2016,1,2016-03-01,2.816518
Quintana Roo,Iran,2013,3,2013-09-01,3.406139
Nuevo León,Iran,2001,1,2001-03-01,1.340135
Estado de México,Moldova,2017,3,2017-09-01,5.887025
Colima,Honduras,2009,3,2009-09-01,6.412421
Chiapas,Turkey,2015,3,2015-09-01,0.663506
Hidalgo,Spain,2006,2,2006-06-01,9.151733
Hidalgo,Holy See (Vatican City State),2010,1,2010-03-01,2.363769
Quintana Roo,Jamaica,2002,4,2002-12-01,1.285273
Durango,El Salvador,2001,2,2001-06-01,8.922926
Chihuahua,Jordan,2021,3,2021-09-01,2.988869
Quintana Roo,Cape Verde,2012,3,2012-09-01,8.980873
Sonora,Swaziland,2011,4,2011-12-01,6.859755
Durango,Uganda,2007,1,2007-03-01,3.099443
Nayarit,China,2022,4,2022-12-01,5.514266
Veracruz,Pakistan,2005,2,2005-06-01,2.289601
Puebla,Montenegro,2002,2,2002-06-01,7.748499
Hidalgo,Samoa,2015,4,2015-12-01,7.117196
Tabasco,Greece,2001,3,2001-09-01,4.291601
Nuevo León,Turkey,2002,3,2002-09-01,8.676733
Tabasco,Norway,2012,3,2012-09-01,2.670073
Tabasco,South Africa,2014,1,2014-03-01,5.92565
Estado de México,Tuvalu,2005,3,2005-09-01,8.713947
Quintana Roo,China,2023,1,2023-03-01,5.719941
Tabasco,New Caledonia,2001,1,2001-03-01,8.241643
Morelos,Ecuador,2005,2,2005-06-01,4.297169
Colima,Lao People's Democratic Republic,2007,2,2007-06-01,7.689126
Oaxaca,Tajikistan,2022,4,2022-12-01,3.418442
Guerrero,Saint Kitts and Nevis,2015,1,2015-03-01,7.496775
Sonora,Lithuania,2013,1,2013-03-01,9.915689
Coahuila,Equatorial Guinea,2011,4,2011-12-01,1.24084
Nuevo León,North Macedonia,2010,3,2010-09-01,6.467238
Campeche,North Macedonia,2003,2,2003-06-01,4.543729
San Luis Potosí,Solomon Islands,2003,2,2003-06-01,6.297878
Querétaro,Guadeloupe,2007,1,2007-03-01,9.79747
Nuevo León,Grenada,2011,3,2011-09-01,5.213303
Veracruz,Indonesia,2013,3,2013-09-01,7.856354
Sinaloa,Sao Tome and Principe,2011,4,2011-12-01,4.099676
Coahuila,Togo,2014,4,2014-12-01,3.677837
Hidalgo,Tuvalu,2002,4,2002-12-01,0.385587
Guanajuato,Bolivia,2023,2,2023-06-01,5.476053
Sinaloa,Macao,2023,2,2023-06-01,7.47654
Querétaro,Venezuela,2016,1,2016-03-01,7.068544
Campeche,Fiji,2015,1,2015-03-01,6.733349
Baja California Sur,Angola,2020,1,2020-03-01,1.824542
San Luis Potosí,Lithuania,2000,3,2000-09-01,5.538946
Quintana Roo,Paraguay,2012,2,2012-06-01,2.965762
Sinaloa,Macao,2004,3,2004-09-01,1.150085
Nuevo León,Hong Kong,2022,4,2022-12-01,3.415226
Campeche,Tajikistan,2006,4,2006-12-01,1.279968
Baja California Sur,United States of America,2021,1,2021-03-01,4.6021
Sinaloa,Congo,2010,1,2010-03-01,4.876743
Michoacán,Saudi Arabia,2003,4,2003-12-01,1.880866
Estado de México,Tajikistan,2012,2,2012-06-01,3.604825
Chiapas,South Africa,2020,4,2020-12-01,1.997082
Michoacán,Saint Barthelemy,2019,1,2019-03-01,4.806427
Chihuahua,Serbia,2017,4,2017-12-01,5.708545
Puebla,Iraq,2003,1,2003-03-01,3.598978
Baja California Sur,Venezuela,2005,1,2005-03-01,9.618252
Chihuahua,Gambia,2021,1,2021-03-01,8.40001
Michoacán,American Samoa,2021,2,2021-06-01,8.724102
Yucatán,Guam,2010,3,2010-09-01,5.958643
Sinaloa,South Africa,2002,1,2002-03-01,7.422757
Guanajuato,Guadeloupe,2001,2,2001-06-01,9.79473
Oaxaca,China,2016,3,2016-09-01,9.577642
Estado de México,Saint Pierre and Miquelon,2014,2,2014-06-01,6.570463
Baja California Sur,Guinea-Bissau,2008,2,2008-06-01,2.583766
Durango,Iraq,2003,3,2003-09-01,0.979892
Zacatecas,Algeria,2013,1,2013-03-01,9.699447
Baja California,Jamaica,2004,2,2004-06-01,9.101411
Estado de México,Tanzania,2023,1,2023-03-01,9.770179
Durango,Afghanistan,2008,4,2008-12-01,9.539572
Zacatecas,Qatar,2009,3,2009-09-01,3.120615
Sonora,Mayotte,2016,1,2016-03-01,1.588717
Baja California Sur,Mexico,2014,4,2014-12-01,2.252972
Veracruz,Belarus,2000,1,2000-03-01,7.420815
Colima,Syrian Arab Republic,2018,2,2018-06-01,8.028651
Puebla,Lithuania,2006,4,2006-12-01,7.536655
Baja California,Tuvalu,2012,4,2012-12-01,7.223366
Colima,Uganda,2005,1,2005-03-01,2.187923
Tlaxcala,Guam,2014,1,2014-03-01,8.181974
Sonora,Botswana,2003,4,2003-12-01,4.957031
Coahuila,South Georgia and the South Sandwich Islands,2011,2,2011-06-01,3.346429
Zacatecas,Singapore,2015,1,2015-03-01,5.875573
Ciudad de México,Antigua and Barbuda,2003,4,2003-12-01,0.455486
Tlaxcala,Mozambique,2021,3,2021-09-01,6.893672
Colima,Latvia,2005,2,2005-06-01,6.340052
Michoacán,El Salvador,2010,1,2010-03-01,8.360498
Nuevo León,Luxembourg,2023,1,2023-03-01,1.714347
Jalisco,Macao,2014,1,2014-03-01,9.029623
Querétaro,Singapore,2012,2,2012-06-01,3.627267
Sinaloa,Spain,2008,2,2008-06-01,6.492364
Nayarit,Gabon,2011,2,2011-06-01,1.343011
Tabasco,Gambia,2017,4,2017-12-01,9.172525
Hidalgo,Singapore,2023,2,2023-06-01,7.712582
Tlaxcala,Saint Barthelemy,2021,4,2021-12-01,3.688338
Tlaxcala,Jersey,2002,2,2002-06-01,0.005453
Hidalgo,Turkey,2019,4,2019-12-01,2.138081
Colima,Costa Rica,2023,3,2023-09-01,7.531813
Morelos,Lao People's Democratic Republic,2023,2,2023-06-01,1.152315
Tamaulipas,Latvia,2009,3,2009-09-01,3.605007
Nuevo León,Saint Pierre and Miquelon,2015,2,2015-06-01,4.919997
Baja California Sur,Syrian Arab Republic,2002,3,2002-09-01,7.860077
Chihuahua,Canada,2020,1,2020-03-01,3.431674
Ciudad de México,Botswana,2000,4,2000-12-01,3.001988
Zacatecas,Greenland,2003,1,2003-03-01,9.937815
Colima,Chad,2016,2,2016-06-01,2.827377
Sinaloa,Saint Pierre and Miquelon,2017,3,2017-09-01,0.364735
Nuevo León,Nicaragua,2014,3,2014-09-01,7.753313
Nayarit,Malaysia,2023,4,2023-12-01,0.319908
